db_id	quality	adom_id	substrate	smiles	module	nrps_prot_id	adom_protein_start	adom_protein_end	adom_nucleotide_start_end_strand	locus_tag	genomic_id	Mibig_id	neighbours	taxid	lineage
ADD0010	gold	AAT12283.1_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	AAT12283.1	22.0	416.0	(2805, 3987, '(+)')	AAT12283.1	AY588942	BGC0000384	['AAT12283.1_nMT.1', 'AAT12283.1_PCP.1', 'AAT12283.1_Condensation_LCL.1', 'AAT12283.1_TD.1']	158786	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Oscillatoriales', 'family': 'Oscillatoriaceae', 'genus': 'Lyngbya', 'species': 'Lyngbya majuscula'}
ADD0011	gold	NSP_49230_AMP-binding.1	homotyrosine	C1=CC(=CC=C1CC[C@@H](C(=O)O)N)O	1	AHJ31215.1	534.0	927.0	(4968891, 4970070, '(-)')	NSP_49230	CP007203	BGC0000430	['NSP_49230_TD.1', 'NSP_49230_Condensation_DCL.1', 'NSP_49230_TIGR01720.1', 'NSP_49230_Epimerization.1', 'NSP_49230_PCP.1', 'NSP_49230_Condensation_LCL.1']	313624	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Nostocales', 'family': 'Aphanizomenonaceae', 'genus': 'Nodularia', 'species': 'Nodularia spumigena'}
ADD0012	gold	NSP_49230_AMP-binding.2	proline	C1C[C@H](NC1)C(=O)O	2	AHJ31215.1	2055.0	2486.0	(4964214, 4965507, '(-)')	NSP_49230	CP007203	BGC0000430	['NSP_49230_Condensation_LCL.2', 'NSP_49230_PCP.2']	313624	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Nostocales', 'family': 'Aphanizomenonaceae', 'genus': 'Nodularia', 'species': 'Nodularia spumigena'}
ADD0013	gold	NSP_49230_AMP-binding.3	arginine	C(C[C@@H](C(=O)O)N)CN=C(N)N	3	AHJ31215.1	3153.0	3575.0	(4960947, 4962213, '(-)')	NSP_49230	CP007203	BGC0000430	['NSP_49230_PCP.3']	313624	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Nostocales', 'family': 'Aphanizomenonaceae', 'genus': 'Nodularia', 'species': 'Nodularia spumigena'}
ADD0014	gold	tioR_AMP-binding.1	cysteine	C([C@@H](C(=O)O)N)S	1	CAJ34374.1	474.0	874.0	(22609, 23809, '(+)')	tioR	AM113472	BGC0000445	['tioR_Condensation_Starter.1', 'tioR_PCP.1', 'tioR_Epimerization.1', 'tioR_TIGR01720.1', 'tioR_Cglyc.1']	349725	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Micromonosporales', 'family': 'Micromonosporaceae', 'genus': 'Micromonospora', 'species': 'Micromonospora sp. ML1'}
ADD0015	gold	tioR_AMP-binding.2	glycine	NCC(=O)O	2	CAJ34374.1	2027.0	2404.0	(27268, 28399, '(+)')	tioR	AM113472	BGC0000445	['tioR_PCP.2']	349725	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Micromonosporales', 'family': 'Micromonosporaceae', 'genus': 'Micromonospora', 'species': 'Micromonospora sp. ML1'}
ADD0016	gold	tioS_AMP-binding.1	cysteine	C([C@@H](C(=O)O)N)S	1	CAJ34375.1	479.0	885.0	(30415, 31633, '(+)')	tioS	AM113472	BGC0000445	['tioS_Condensation_LCL.1', 'tioS_nMT.1', 'tioS_PCP.1', 'tioS_Thioesterase.1']	349725	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Micromonosporales', 'family': 'Micromonosporaceae', 'genus': 'Micromonospora', 'species': 'Micromonospora sp. ML1'}
ADD0017	gold	tioS_AMP-binding.2	cysteine	C([C@@H](C(=O)O)N)S	2	CAJ34375.1	1939.0	2322.0	(34795, 35944, '(+)')	tioS	AM113472	BGC0000445	['tioS_Condensation_LCL.2', 'tioS_nMT.2', 'tioS_PCP.2']	349725	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Micromonosporales', 'family': 'Micromonosporaceae', 'genus': 'Micromonospora', 'species': 'Micromonospora sp. ML1'}
ADD0018	gold	AHA_2473_AMP-binding.1	glycine	NCC(=O)O	1	ABK36691.1	35.0	424.0	(2742144, 2743311, '(-)')	AHA_2473	CP000462	BGC0001502	[]	380703	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Aeromonadales', 'family': 'Aeromonadaceae', 'genus': 'Aeromonas', 'species': 'Aeromonas hydrophila'}
ADD0019	gold	AHA_2474_AMP-binding.1	phenylalanine	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	1	ABK36076.1	503.0	893.0	(2746928, 2748098, '(-)')	AHA_2474	CP000462	BGC0001502	['AHA_2474_PP-binding.1', 'AHA_2474_Condensation_DCL.1', 'AHA_2474_TIGR01720.1', 'AHA_2474_Epimerization.1', 'AHA_2474_PCP.1', 'AHA_2474_Condensation_LCL.1']	380703	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Aeromonadales', 'family': 'Aeromonadaceae', 'genus': 'Aeromonas', 'species': 'Aeromonas hydrophila'}
ADD0020	gold	AHA_2476_AMP-binding.1	lysine	C(CCN)C[C@@H](C(=O)O)N	1	ABK39646.1	456.0	850.0	(2751054, 2752236, '(-)')	AHA_2476	CP000462	BGC0001502	['AHA_2476_PCP.1', 'AHA_2476_Condensation_Starter.1']	380703	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Aeromonadales', 'family': 'Aeromonadaceae', 'genus': 'Aeromonas', 'species': 'Aeromonas hydrophila'}
ADD0021	gold	AHA_2478_AMP-binding.1	2,3-dihydroxybenzoic acid	C1=CC(=C(C(=C1)O)O)C(=O)O	1	ABK38474.1	36.0	446.0	(2754871, 2756101, '(-)')	AHA_2478	CP000462	BGC0001502	[]	380703	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Gammaproteobacteria', 'order': 'Aeromonadales', 'family': 'Aeromonadaceae', 'genus': 'Aeromonas', 'species': 'Aeromonas hydrophila'}
ADD0022	gold	ADA69239.2_AMP-binding.2	proline	C1C[C@H](NC1)C(=O)O	2	ADA69239.2	7625.0	8036.0	(39968, 41201, '(+)')	ADA69239.2	GQ979609	BGC0001071	['ADA69239.2_Condensation_LCL.2', 'ADA69239.2_PCP.2']	414689	"{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Nostocales', 'family': 'Nostocaceae', 'genus': 'Nostoc', 'species': ""Nostoc sp. 'Peltigera membranacea cyanobiont'""}"
ADD0023	gold	ADA69239.2_AMP-binding.1	glycine	NCC(=O)O	1	ADA69239.2	1215.0	1611.0	(20738, 21926, '(+)')	ADA69239.2	GQ979609	BGC0001071	['ADA69239.2_Trans-AT_docking.1', 'ADA69239.2_PP-binding.1', 'ADA69239.2_Condensation_LCL.1', 'ADA69239.2_PCP.1', 'ADA69239.2_Trans-AT_docking.2', 'ADA69239.2_cMT.1', 'ADA69239.2_ACP.1', 'ADA69239.2_Trans-AT_docking.3', 'ADA69239.2_cMT.2', 'ADA69239.2_Trans-AT_docking.4', 'ADA69239.2_ACP.2']	414689	"{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Nostocales', 'family': 'Nostocaceae', 'genus': 'Nostoc', 'species': ""Nostoc sp. 'Peltigera membranacea cyanobiont'""}"
ADD0024	gold	ATEG_00325_AMP-binding.1	leucine	CC(C)C[C@@H](C(=O)O)N	1	EAU38971.1	2935.0	3344.0	(921589, 922816, '(-)')	ATEG_00325	CH476594	BGC0001122	['ATEG_00325_TD.1', 'ATEG_00325_PCP.1', 'ATEG_00325_Condensation_LCL.1']	341663	{'domain': 'Eukaryota', 'kingdom': 'Fungi', 'phylum': 'Ascomycota', 'class': 'Eurotiomycetes', 'order': 'Eurotiales', 'family': 'Aspergillaceae', 'genus': 'Aspergillus', 'species': 'Aspergillus terreus'}
ADD0025	gold	ERIC2_c18040_AMP-binding.1	lysine	C(CCN)C[C@@H](C(=O)O)N	1	AHD05614.1	470.0	858.0	(1731332, 1732496, '(+)')	ERIC2_c18040	CP003355	BGC0001033	['ERIC2_c18040_NRPS-COM_Nterm.1', 'ERIC2_c18040_Condensation_DCL.1', 'ERIC2_c18040_PCP.1', 'ERIC2_c18040_PCP.2']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0026	gold	ERIC2_c18050_AMP-binding.1	D-alanine	C[C@H](C(=O)O)N	1	AHD05615.1	1971.0	2365.0	(1743640, 1744822, '(+)')	ERIC2_c18050	CP003355	BGC0001033	['ERIC2_c18050_PCP.1', 'ERIC2_c18050_Condensation_LCL.1', 'ERIC2_c18050_Condensation_LCL.2']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0027	gold	ERIC2_c18060_AMP-binding.1	2,3-diaminopropionic acid	C([C@@H](C(=O)O)N)N	1	AHD05616.1	845.0	1135.0	(1749297, 1750167, '(+)')	ERIC2_c18060	CP003355	BGC0001033	['ERIC2_c18060_nMT.1', 'ERIC2_c18060_PCP.1', 'ERIC2_c18060_Condensation_LCL.1']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0028	gold	ERIC2_c18070_AMP-binding.1	lysine	C(CCN)C[C@@H](C(=O)O)N	1	AHD05617.1	276.0	683.0	(1752925, 1754146, '(+)')	ERIC2_c18070	CP003355	BGC0001033	['ERIC2_c18070_PCP.1', 'ERIC2_c18070_Epimerization.1', 'ERIC2_c18070_TIGR01720.1']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0029	gold	ERIC2_c18080_AMP-binding.1	serine	C([C@@H](C(=O)O)N)O	1	AHD05618.1	482.0	889.0	(1757588, 1758809, '(+)')	ERIC2_c18080	CP003355	BGC0001033	['ERIC2_c18080_NRPS-COM_Nterm.1', 'ERIC2_c18080_Condensation_DCL.1', 'ERIC2_c18080_PCP.1']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0030	gold	ERIC2_c18110_AMP-binding.1	2,3-diaminopropionic acid	C([C@@H](C(=O)O)N)N	1	AHD05621.1	280.0	545.0	(1770645, 1771440, '(+)')	ERIC2_c18110	CP003355	BGC0001033	['ERIC2_c18110_nMT.1', 'ERIC2_c18110_PCP.1', 'ERIC2_c18110_Condensation_LCL.1']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0031	gold	ERIC2_c18110_AMP-binding.2	glycine	NCC(=O)O	2	AHD05621.1	840.0	1130.0	(1772325, 1773195, '(+)')	ERIC2_c18110	CP003355	BGC0001033	['ERIC2_c18110_PCP.2']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0032	gold	ERIC2_c18170_AMP-binding.1	asparagine	C([C@@H](C(=O)O)N)C(=O)N	1	AHD05627.1	461.0	858.0	(1785564, 1786755, '(+)')	ERIC2_c18170	CP003355	BGC0001033	['ERIC2_c18170_Condensation_Starter.1', 'ERIC2_c18170_PCP.1', 'ERIC2_c18170_Epimerization.1', 'ERIC2_c18170_TIGR01720.1']	697284	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Bacillota', 'class': 'Bacilli', 'order': 'Bacillales', 'family': 'Paenibacillaceae', 'genus': 'Paenibacillus', 'species': 'Paenibacillus larvae'}
ADD0033	gold	BBA_08222_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	EJP62835.1	686.0	1080.0	(161452, 162634, '(+)')	BBA_08222	JH725181	BGC0002203	['BBA_08222_PCP.1', 'BBA_08222_Condensation_DCL.1', 'BBA_08222_Condensation_LCL.1', 'BBA_08222_Epimerization.1', 'BBA_08222_Condensation_DCL.4']	655819	{'domain': 'Eukaryota', 'kingdom': 'Fungi', 'phylum': 'Ascomycota', 'class': 'Sordariomycetes', 'order': 'Hypocreales', 'family': 'Cordycipitaceae', 'genus': 'Beauveria', 'species': 'Beauveria bassiana'}
ADD0034	gold	BBA_08222_AMP-binding.2	phenylalanine	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	2	EJP62835.1	2251.0	2643.0	(166147, 167323, '(+)')	BBA_08222	JH725181	BGC0002203	['BBA_08222_PCP.2', 'BBA_08222_Condensation_DCL.2']	655819	{'domain': 'Eukaryota', 'kingdom': 'Fungi', 'phylum': 'Ascomycota', 'class': 'Sordariomycetes', 'order': 'Hypocreales', 'family': 'Cordycipitaceae', 'genus': 'Beauveria', 'species': 'Beauveria bassiana'}
ADD0035	gold	BBA_08222_AMP-binding.3	isoleucine	CC[C@H](C)[C@@H](C(=O)O)N	3	EJP62835.1	3352.0	3745.0	(169450, 170629, '(+)')	BBA_08222	JH725181	BGC0002203	['BBA_08222_PCP.3', 'BBA_08222_Condensation_DCL.3']	655819	{'domain': 'Eukaryota', 'kingdom': 'Fungi', 'phylum': 'Ascomycota', 'class': 'Sordariomycetes', 'order': 'Hypocreales', 'family': 'Cordycipitaceae', 'genus': 'Beauveria', 'species': 'Beauveria bassiana'}
ADD0036	gold	TMO_c0602_AMP-binding.1	glutamine	C(CC(=O)N)[C@@H](C(=O)O)N	1	AFK57212.1	466.0	852.0	(676338, 677496, '(+)')	TMO_c0602	CP003239	BGC0000985	['TMO_c0602_Condensation_Starter.1', 'TMO_c0602_PCP.1', 'TMO_c0602_Condensation_LCL.1']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0037	gold	TMO_c0602_AMP-binding.2	glutamine	C(CC(=O)N)[C@@H](C(=O)O)N	2	AFK57212.1	1513.0	1896.0	(679479, 680628, '(+)')	TMO_c0602	CP003239	BGC0000985	['TMO_c0602_PCP.2']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0038	gold	TMO_c0604_AMP-binding.1	proline	C1C[C@H](NC1)C(=O)O	1	AFK57214.1	523.0	911.0	(688264, 689428, '(+)')	TMO_c0604	CP003239	BGC0000985	['TMO_c0604_Condensation_LCL.1', 'TMO_c0604_PCP.1', 'TMO_c0604_Condensation_LCL.2']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0039	gold	TMO_c0605_AMP-binding.1	leucine	CC(C)C[C@@H](C(=O)O)N	1	AFK57215.1	249.0	642.0	(691410, 692589, '(+)')	TMO_c0605	CP003239	BGC0000985	['TMO_c0605_nMT.1', 'TMO_c0605_PCP.1', 'TMO_c0605_Epimerization.1', 'TMO_c0605_TIGR01720.1', 'TMO_c0605_Condensation_DCL.1', 'TMO_c0605_Condensation_LCL.1']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0040	gold	TMO_c0605_AMP-binding.2	threonine	C[C@H]([C@@H](C(=O)O)N)O	2	AFK57215.1	2212.0	2615.0	(697299, 698508, '(+)')	TMO_c0605	CP003239	BGC0000985	['TMO_c0605_PCP.2']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0041	gold	TMO_c0605_AMP-binding.3	isoleucine	CC[C@H](C)[C@@H](C(=O)O)N	3	AFK57215.1	3246.0	3653.0	(700401, 701622, '(+)')	TMO_c0605	CP003239	BGC0000985	['TMO_c0605_PCP.3']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0042	gold	TMO_c0609_AMP-binding.1	leucine	CC(C)C[C@@H](C(=O)O)N	1	AFK57219.1	503.0	896.0	(717967, 719146, '(+)')	TMO_c0609	CP003239	BGC0000985	['TMO_c0609_Condensation_LCL.1', 'TMO_c0609_PCP.1']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0043	gold	TMO_c0610_AMP-binding.1	proline	C1C[C@H](NC1)C(=O)O	1	AFK57220.1	257.0	645.0	(721061, 722225, '(+)')	TMO_c0610	CP003239	BGC0000985	['TMO_c0610_PCP.1']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0044	gold	TMO_c0611_AMP-binding.1	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	1	AFK57221.1	525.0	906.0	(724483, 725626, '(+)')	TMO_c0611	CP003239	BGC0000985	['TMO_c0611_Condensation_LCL.1', 'TMO_c0611_nMT.1', 'TMO_c0611_PCP.1', 'TMO_c0611_Thioesterase.1']	1110502	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Pseudomonadota', 'class': 'Alphaproteobacteria', 'order': 'Rhodospirillales', 'family': 'Geminicoccaceae', 'genus': 'Tistrella', 'species': 'Tistrella mobilis'}
ADD0045	gold	cmxB_AMP-binding.1	valine	CC(C)[C@@H](C(=O)O)N	1	AXM43052.1	485.0	882.0	(12434, 13625, '(+)')	cmxB	MH168382	BGC0001945	['cmxB_Condensation_LCL.1', 'cmxB_PCP.1', 'cmxB_Thioesterase.1']	1929279	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': 'Myxococcia', 'order': 'Myxococcales', 'family': 'Myxococcaceae', 'genus': 'Myxococcus', 'species': 'Myxococcus sp.'}
ADD0046	gold	cmxB_AMP-binding.2	pipecolic acid	C1CCN[C@@H](C1)C(=O)O	2	AXM43052.1	1531.0	1935.0	(15572, 16784, '(+)')	cmxB	MH168382	BGC0001945	['cmxB_Condensation_LCL.2', 'cmxB_PCP.2']	1929279	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': 'Myxococcia', 'order': 'Myxococcales', 'family': 'Myxococcaceae', 'genus': 'Myxococcus', 'species': 'Myxococcus sp.'}
ADD0047	gold	cmxB_AMP-binding.3	hydroxyproline	C(*)1C[C@H](NC(*)1)C(=O)O	3	AXM43052.1	2587.0	2991.0	(18740, 19952, '(+)')	cmxB	MH168382	BGC0001945	['cmxB_Condensation_LCL.3', 'cmxB_PCP.3']	1929279	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Myxococcota', 'class': 'Myxococcia', 'order': 'Myxococcales', 'family': 'Myxococcaceae', 'genus': 'Myxococcus', 'species': 'Myxococcus sp.'}
